whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type
Michter's Small Batch Bourbon,8.50,0.31,11,$$$,Bourbon-like,,,USA,Bourbon
Michter's Sour Mash,8.36,0.08,3,$$$,Bourbon-like,,,USA,Bourbon
Michter's Toasted Barrel,8.41,0.15,5,$$$$,Bourbon-like,,,USA,Bourbon
Midleton Barry Crockett Legacy,9.07,0.24,9,$$$$$,SingleMalt-like,GH,G,Ireland,Blend
Midleton Dair Ghaelach,9.09,0.30,7,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Midleton Very Rare (all vintages),8.81,0.51,11,$$$$$,SingleMalt-like,EF,E,Ireland,Blend
Millstone 100 Rye,8.69,0.33,9,$$$$,Rye-like,,,Netherlands,Rye
Millstone 12yo Sherry Cask,8.95,0.25,7,$$$$,SingleMalt-like,ABC,C,Netherlands,Malt
Millstone 8yo French Oak,7.95,0.67,4,$$$$,SingleMalt-like,EF,E,Netherlands,Malt
Miltonduff 10yo (F&F),8.08,0.45,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Monkey Shoulder,8.31,0.40,16,$$,SingleMalt-like,EF,E,Scotland,Malt
Mortlach 15yo (Gordon & MacPhail),8.67,0.35,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Mortlach 16yo (F&F),8.68,0.29,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Mortlach 18yo,8.71,0.60,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Mortlach Rare Old,8.42,0.46,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Mortlach Special Strength,8.80,0.58,6,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Nikka All Malt,8.45,0.16,8,$$,SingleMalt-like,EF,E,Japan,Malt
Nikka Coffey Grain,8.59,0.49,15,$$$$,Scotch-like,,,Japan,Grain
Nikka Coffey Malt,8.80,0.44,9,$$$$,SingleMalt-like,EF,E,Japan,Malt
Nikka From the Barrel,8.82,0.39,21,$$$,SingleMalt-like,EF,F,Japan,Blend
Nikka Gold & Gold,8.17,0.34,7,$$$,SingleMalt-like,GH,G,Japan,Malt
Nikka Miyagikyo 10yo,8.45,0.33,7,$$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Miyagikyo 12yo,8.56,0.33,7,$$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Miyagikyo 15yo,8.67,0.29,11,$$$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Miyagikyo NAS,8.47,0.37,5,$$$$,SingleMalt-like,GH,H,Japan,Malt
Nikka Pure Malt Black,8.79,0.22,13,$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Pure Malt Red,8.53,0.33,9,$$$,SingleMalt-like,EF,E,Japan,Malt
Nikka Pure Malt White,8.65,0.32,12,$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Single Cask Coffey Malt 12yo,9.11,0.48,9,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Nikka Super,8.00,0.46,8,$$$,SingleMalt-like,EF,E,Japan,Malt
Nikka Taketsuru 12yo,8.37,0.36,17,$$$$,SingleMalt-like,EF,E,Japan,Malt
Nikka Taketsuru 17yo,8.75,0.26,12,$$$$$,SingleMalt-like,EF,E,Japan,Malt
Nikka Taketsuru 21yo,8.97,0.28,16,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Nikka Taketsuru NAS,8.24,0.37,5,$$$$,SingleMalt-like,GH,G,Japan,Malt
Nikka Yoichi 10yo,8.68,0.27,16,$$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Yoichi 12yo,8.76,0.20,9,$$$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Yoichi 15yo,8.97,0.27,14,$$$$$,SingleMalt-like,I,I,Japan,Malt
Nikka Yoichi NAS,8.44,0.32,9,$$$$,SingleMalt-like,I,I,Japan,Malt
Oban 14yo,8.45,0.40,15,$$$$,SingleMalt-like,I,I,Scotland,Malt
Oban 18yo,8.73,0.18,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Oban 21yo,9.04,0.25,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Oban Distillers Edition (all vintages),8.71,0.24,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Oban Little Bay,8.39,0.43,10,$$$$,SingleMalt-like,I,I,Scotland,Malt
Old Ballantruan Peated (Toumintoul),8.25,0.40,8,$$$$,SingleMalt-like,I,I,Scotland,Malt
Old Fitzgerald BiB,7.98,0.38,4,$$$,Bourbon-like,,,USA,Bourbon
Old Fitzgerald Kentucky Straight Bourbon,8.43,0.52,6,$$,Bourbon-like,,,USA,Bourbon
Old Forester,8.11,0.43,11,$$,Bourbon-like,,,USA,Bourbon
Old Forester 1897 BiB,8.11,0.60,4,$$$,Bourbon-like,,,USA,Bourbon
Old Forester 1920 Prohibition Style,8.87,0.21,3,$$$$,Bourbon-like,,,USA,Bourbon
Old Forester Birthday (2012-2016),8.75,0.15,9,$$$$$,Bourbon-like,,,USA,Bourbon
Old Forester Signature (100 Proof),8.36,0.40,8,$$,Bourbon-like,,,USA,Bourbon
Old Grand-Dad Bourbon (80/86 Proof),8.04,0.51,10,$$,Bourbon-like,,,USA,Bourbon
Old Grand-Dad Bourbon 100 BiB,8.37,0.54,9,$$,Bourbon-like,,,USA,Bourbon
Old Grand-Dad Bourbon 114,8.63,0.24,9,$$,Bourbon-like,,,USA,Bourbon
Old Pulteney 12yo,8.42,0.27,23,$$$,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 17yo,8.83,0.27,17,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 21yo,8.77,0.48,15,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Old Pulteney Navigator,8.30,0.40,10,$$$,SingleMalt-like,EF,E,Scotland,Malt
Old Rip Van Winkle 10yo,9.03,0.21,8,$$$$$+,Bourbon-like,,,USA,Bourbon
Old Weller Antique 107,8.68,0.41,10,$$,Bourbon-like,,,USA,Bourbon
Orphan Barrel Barterhouse Bourbon 20yo,8.72,0.40,12,$$$$$,Bourbon-like,,,USA,Bourbon
P&M Blended Whisky,7.46,0.97,5,$,Scotch-like,,,France,Blend
Pappy Van Winkle Family Reserve Bourbon 15yo,9.24,0.24,10,$$$$$+,Bourbon-like,,,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 20yo,9.25,0.35,12,$$$$$+,Bourbon-like,,,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 23yo,8.75,0.52,4,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 10th 24yo Kentucky Straight Bourbon,8.65,0.96,3,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 2nd 27yo Kentucky Straight Boubon,9.28,0.37,3,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 4th 10yo Wheated Mash Bill Bourbon,9.09,0.22,5,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 5th 10yo Cognac Barrel Finished,9.01,0.30,8,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 6th Blend of Mashbills,9.05,0.12,6,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 7th 10yo Promise of Hope,9.15,0.18,7,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 8th 13yo Wheat Whiskey,8.77,0.54,8,$$$$$+,Bourbon-like,,,USA,Bourbon
Parkers Heritage 9th 8yo Malt Whiskey,8.41,0.54,5,$$$$$,Bourbon-like,,,USA,Bourbon
Paul John Bold,8.81,0.23,4,$$$,SingleMalt-like,I,I,India,Malt
Paul John Brilliance,8.51,0.42,6,$$$,SingleMalt-like,EF,E,India,Malt
Paul John Classic Select Cask,8.59,0.40,6,$$$$,SingleMalt-like,EF,E,India,Malt
Paul John Edited,8.41,0.58,6,$$$,SingleMalt-like,I,I,India,Malt
Paul John Peated Select Cask,8.76,0.28,8,$$$$,SingleMalt-like,I,I,India,Malt
Paul John Single Cask,8.90,0.35,5,$$$$,SingleMalt-like,EF,E,India,Malt
Penderyn Aur Cymru,7.73,0.58,8,$$$$,SingleMalt-like,EF,E,Wales,Malt
Penderyn Legend,7.49,0.87,4,$$$,SingleMalt-like,ABC,B,Wales,Malt
Penderyn Madeira,7.91,0.96,13,$$$$,SingleMalt-like,ABC,B,Wales,Malt
Penderyn Peated,8.30,0.57,9,$$$$,SingleMalt-like,I,I,Wales,Malt
Penderyn Portwood,8.61,0.39,5,$$$,SingleMalt-like,ABC,C,Wales,Malt
Penderyn Sherrywood,7.73,0.60,9,$$$$,SingleMalt-like,ABC,B,Wales,Malt
Pendleton (Let'er Buck),8.01,0.49,14,$$,Rye-like,,,Canada,Blend
Pendleton 1910,8.34,0.49,8,$$,Rye-like,,,Canada,Blend
Pike Creek 10yo Port-finished,8.28,0.52,12,$$,Rye-like,,,Canada,Blend
Pike Creek 10yo Rum-finished,8.66,0.24,3,$$,Rye-like,,,Canada,Blend
Pikesville Straight Rye,8.73,0.48,13,$$$$,Rye-like,,,USA,Rye
Port Charlotte 10yo Heavily Peated,8.65,0.27,4,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte An Turas Mor,8.71,0.28,10,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte Islay Barley Heavily Peated,8.89,0.17,3,$$$$,SingleMalt-like,J,J,Scotland,Malt
Port Charlotte PC10 (Second Edition),8.88,0.17,3,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte PC10 Tro Na Linntean,8.97,0.46,9,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte PC11 Eorna Na H-Alba,8.91,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte PC12 Oileanach Furachail,8.67,0.61,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte Scottish Barley Heavily Peated,8.76,0.26,15,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte The Peat Project,8.50,0.40,7,$$$$,SingleMalt-like,J,J,Scotland,Malt
Potter's Special Old,8.41,0.42,4,$,Rye-like,,,Canada,Blend
Powers 12yo John's Lane,8.82,0.39,14,$$$$,Scotch-like,,,Ireland,Blend
Powers 12yo Reserve,8.62,0.25,6,$$$,Scotch-like,,,Ireland,Blend
Powers Gold Label,7.99,0.52,11,$$,Scotch-like,,,Ireland,Blend
Powers Signature Release,8.22,0.52,4,$$$,Scotch-like,,,Ireland,Blend
Prichards Rye,8.44,0.32,3,$$$$,Rye-like,,,USA,Rye
Proof Whisky,7.22,0.81,9,$$,Rye-like,,,Canada,Blend
Rebel Yell Kentucky Bourbon,7.59,0.59,11,$,Bourbon-like,,,USA,Bourbon
Redbreast 12yo,8.75,0.41,21,$$$,SingleMalt-like,EF,E,Ireland,Malt
Redbreast 12yo Cask Strength,9.07,0.35,17,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Redbreast 15yo,8.74,0.26,13,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Redbreast 21yo,9.16,0.32,14,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Redbreast All Sherry Single Cask 1999,8.42,0.91,4,$$$$$,SingleMalt-like,ABC,A,Ireland,Malt
Redbreast Lustau Edition,8.88,0.33,6,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Redbreast Mano a Lmh,8.67,0.37,4,$$$,SingleMalt-like,ABC,C,Ireland,Malt
Redemption High Rye Bourbon,7.82,0.42,4,$$,Bourbon-like,,,USA,Bourbon
Rich and Rare,7.70,0.60,5,$,Rye-like,,,Canada,Blend
Rich and Rare Reserve,7.96,0.29,6,$,Rye-like,,,Canada,Blend
Rittenhouse Rye 100 Proof,8.58,0.24,15,$$,Rye-like,,,USA,Rye
Royal Brackla 12yo,8.26,0.47,12,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Royal Brackla 16yo,8.76,0.23,5,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Royal Brackla 21yo,8.80,0.18,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Royal Canadian Small Batch,8.04,0.35,12,$$,Rye-like,,,Canada,Blend
Royal Lochnagar 12yo,7.92,0.30,11,$$,SingleMalt-like,ABC,C,Scotland,Malt
Russell's Reserve 6yo Rye,8.70,0.28,7,$$$,Rye-like,,,USA,Rye
Russell's Reserve Single Barrel,8.82,0.47,8,$$$$,Bourbon-like,,,USA,Bourbon
Russell's Reserve Small Batch 10yo Bourbon,8.54,0.29,14,$$,Bourbon-like,,,USA,Bourbon
Sazerac 18yo,8.94,0.35,13,$$$$$+,Rye-like,,,USA,Rye
Sazerac Straight Rye,8.59,0.46,13,$$,Rye-like,,,USA,Rye
Scapa 16yo,8.29,0.27,14,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Scapa Skiren,7.80,0.55,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Schenley Golden Wedding,7.88,0.70,9,$,Rye-like,,,Canada,Blend
Seagram's Canadian 83,7.36,0.81,7,$,Rye-like,,,Canada,Blend
Seagram's VO,7.79,0.69,9,$,Rye-like,,,Canada,Blend
Sheep Dip 1999 Amoroso Blended Malt,8.71,0.57,3,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Sheep Dip Blended Malt,8.46,0.33,11,$$,SingleMalt-like,GH,H,Scotland,Malt
Sheep Dip Old Hebridean 1990 Blended Malt,9.12,0.20,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Silk Tassel,7.73,0.71,4,$,Rye-like,,,Canada,Blend
Smgen Primr,8.51,0.24,4,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Smgen Single Cask (2010/2011),8.91,0.15,3,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Smooth Ambler Old Scout 10yo Bourbon,8.62,0.44,3,$$$$,Bourbon-like,,,USA,Bourbon
Smooth Ambler Old Scout 7yo Bourbon,8.51,0.38,9,$$$,Bourbon-like,,,USA,Bourbon
Smooth Ambler Old Scout 7yo Rye,8.56,0.36,6,$$$,Rye-like,,,USA,Rye
Smooth Ambler Old Scout Single Barrel Bourbon,8.89,0.24,5,$$$$,Bourbon-like,,,USA,Bourbon
Smooth Ambler Old Scout Yearling Bourbon,7.88,1.24,3,$$$,Bourbon-like,,,USA,Bourbon
Speyburn 10yo,8.07,0.33,18,$$,SingleMalt-like,GH,H,Scotland,Malt
Speyside 10yo,7.71,0.64,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Speyside 12yo,7.86,0.61,10,$$,SingleMalt-like,GH,H,Scotland,Malt
Spirit of Hven Sankt Claus,8.60,0.58,3,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Spirit of Hven Seven Stars No. 1 Dubhe,8.29,0.41,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Seven Stars No. 2 Merak,8.38,0.26,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Seven Stars No. 3 Phecda,8.53,0.34,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Tychos Star,8.57,0.07,3,$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Urania,8.56,0.46,3,$$$$$+,SingleMalt-like,GH,H,Sweden,Malt
Springbank 10yo,8.70,0.25,19,$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 11yo Local Barley,9.10,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 12yo Cask Strength,8.87,0.25,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 12yo Green,8.80,0.27,8,$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 13yo Green,8.89,0.21,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 15yo,8.69,0.24,17,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 16yo Local Barley,9.08,0.16,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 18yo,8.96,0.18,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 21yo,8.98,0.22,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Springbank CV,8.25,0.37,8,$$$,SingleMalt-like,I,I,Scotland,Malt
St George's Chapter 6 (unpeated),8.24,0.47,10,$$$,SingleMalt-like,GH,G,England,Malt
St George's Chapter 9 (peated),8.21,0.44,5,$$$,SingleMalt-like,I,I,England,Malt
Stagg Jr (all batches),8.58,0.40,16,$$$$,Bourbon-like,,,USA,Bourbon
Stagg Jr (batches 1-2),8.45,0.38,13,$$$$,Bourbon-like,,,USA,Bourbon
Stagg Jr (batches 3-6),8.90,0.19,6,$$$$,Bourbon-like,,,USA,Bourbon
Stalk & Barrel 11+1 Canadian whisky,8.20,0.43,16,$$,Rye-like,,,Canada,Blend
Stalk & Barrel Red Blend,8.41,0.49,4,$$,Rye-like,,,Canada,Blend
Stalk & Barrel Rye,8.56,0.19,5,$$$,Rye-like,,,Canada,Blend
Stalk & Barrel Rye (Cask Strength),8.40,0.55,4,$$$,Rye-like,,,Canada,Blend
Stalk & Barrel Single Malt (All Casks),8.26,0.41,12,$$$,SingleMalt-like,EF,F,Canada,Malt
Storas 21yo Rare Cask Reserves Blended Malt,8.61,0.04,3,$$$,SingleMalt-like,EF,E,Scotland,Blend
Stranahan's Colorado Whiskey,8.54,0.32,13,$$$$,Bourbon-like,,,USA,Bourbon
Strathisla 12yo,8.21,0.31,13,$$$,SingleMalt-like,EF,E,Scotland,Malt
Strathmill 12yo,8.37,0.28,3,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Strathmill 25yo,8.81,0.4,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Stronachie 12yo,8.17,0.29,8,$$$,SingleMalt-like,GH,H,Scotland,Malt
Stronachie 18yo,8.62,0.26,5,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Sullivans Cove American Oak,8.55,0.27,4,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Sullivans Cove Bourbon Cask Strength,8.54,0.76,6,$$$$,SingleMalt-like,EF,F,Tasmania,Malt
Sullivans Cove Double Cask,8.28,0.52,13,$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Sullivans Cove French Oak,8.67,0.28,8,$$$$$+,SingleMalt-like,ABC,C,Tasmania,Malt
Sullivans Cove Port Cask Strength,8.45,0.59,7,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Suntory Old Whisky,8.3,0.33,7,$$$,Scotch-like,,,Japan,Blend
Suntory Toki,8.21,0.46,6,$$$,Scotch-like,,,Japan,Blend
Talisker 10yo,8.92,0.18,22,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 18yo,9.18,0.2,16,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 25yo,8.98,0.3,15,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 30yo,9.2,0.34,13,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 57 North,8.95,0.21,16,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Dark Storm,8.75,0.13,8,$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Distiller's Edition (all editions),8.94,0.26,20,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Port Ruighe,8.5,0.41,15,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Talisker Skye,8.44,0.25,11,$$,SingleMalt-like,GH,G,Scotland,Malt
Talisker Storm,8.61,0.27,16,$$$$,SingleMalt-like,I,I,Scotland,Malt
Tamdhu 10yo,8.22,0.6,15,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Tamdhu Batch Strength (both batches),8.47,0.57,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Tamnavulin 12yo,7.68,0.84,4,$$,SingleMalt-like,GH,H,Scotland,Malt
T Bheag,8.47,0.29,14,$$,Scotch-like,,,Scotland,Blend
Teacher's Highland Cream,7.96,0.72,11,$,Scotch-like,,,Scotland,Blend
Teaninich 10yo (F&F),8.08,0.27,3,,SingleMalt-like,EF,F,Scotland,Malt
Teeling Poitin,8.14,0.24,5,$$,Scotch-like,,,Ireland,Blend
Teeling Silver Reserve 21yo Sauternes Finish,8.92,0.33,10,$$$$$,SingleMalt-like,GH,H,Ireland,Malt
Teeling Single Grain (Wine Cask Finish),8.53,0.32,10,$$$,Scotch-like,,,Ireland,Grain
Teeling Single Malt,8.47,0.34,7,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Teeling Small Batch (Rum Cask Finish),8.31,0.41,19,$$,SingleMalt-like,EF,E,Ireland,Blend
Teerenpeli 10yo,8.21,0.39,5,$$$$$,SingleMalt-like,GH,H,Finland,Malt
Teerenpeli 8yo,8.42,0.4,6,$$$$$,SingleMalt-like,EF,E,Finland,Malt
Teerenpeli Distillers Choice KARHI,8.73,0.12,3,$$$$,SingleMalt-like,ABC,C,Finland,Malt
Teerenpeli Distillers Choice RASI,8.55,0.34,3,$$$$,SingleMalt-like,EF,E,Finland,Malt
Teerenpeli Distiller's Choice KASKI,8.56,0.26,3,$$$$,SingleMalt-like,EF,E,Finland,Malt
Templeton Rye,8,0.41,7,$$$,Rye-like,,,USA,Rye
The Irishman Cask Strength,8.68,0.25,4,$$$$$,Scotch-like,,,Ireland,Blend
The Irishman Founders Reserve,8.32,0.38,6,$$,Scotch-like,,,Ireland,Blend
