whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type,alt_brand
Ileach Peated Islay Cask Strength,8.82,0.35,9,$$$,SingleMalt-like,J,J,Scotland,Malt,cask ileach islay peated strength
Inchgower 14yo (F&F),8.67,0.46,7,$$$$,SingleMalt-like,GH,H,Scotland,Malt,14 ff inchgower
Islay Mist 8yo,7.92,0.45,9,$,Scotch-like,,,Scotland,Blend,8 islay mist
J&B Rare,7.1,0.99,10,$,Scotch-like,,,Scotland,Blend,jb rare
J.P. Wisers 18yo,8.66,0.4,14,$$$,Rye-like,,,Canada,Blend,18 j.p. wisers
J.P. Wisers Red Letter,8.86,0.36,11,$$$$,Rye-like,,,Canada,Blend,j.p. letter red wisers
J.P. Wisers Rye,7.99,0.45,8,$,Rye-like,,,Canada,Blend,j.p. rye wisers
J.P. Wiser's Deluxe,7.9,0.68,10,$,Rye-like,,,Canada,Blend,deluxe j.p. wiser
J.P. Wiser's Double Still Rye,8.35,0.36,8,$,Rye-like,,,Canada,Blend,double j.p. rye still wiser
J.P. Wiser's Hopped,8.06,0.53,5,$,Rye-like,,,Canada,Blend,hopped j.p. wiser
J.P. Wiser's Last Barrels,8.8,0.27,7,$$$,Bourbon-like,,,Canada,Blend,barrels j.p. last wiser
J.P. Wiser's Legacy,9.02,0.35,15,$$,Rye-like,,,Canada,Blend,j.p. legacy wiser
J.P. Wiser's Small Batch,8.53,0.26,11,$,Rye-like,,,Canada,Blend,batch j.p. small wiser
J.P. Wiser's Special Blend,7.3,0.85,4,$,Rye-like,,,Canada,Blend,blend j.p. special wiser
J.P. Wiser's Union 52,8.7,0.31,5,$$$,Rye-like,,,Canada,Blend,52 j.p. union wiser
Jack Daniel's 150th Anniversary,8.91,0.32,3,$$$,Bourbon-like,,,USA,Bourbon,150th anniversary daniel jack
Jack Daniel's Gentleman Jack,7.91,0.37,12,$$,Bourbon-like,,,USA,Bourbon,daniel gentleman jack jack
Jack Daniel's Master Distiller (all series),8.6,0.23,4,$$,Bourbon-like,,,USA,Bourbon,daniel distiller jack master
Jack Daniel's No. 27 Gold Double Barrelled,8.02,0.11,3,$$$$,Bourbon-like,,,USA,Bourbon,27 barrelled daniel double gold jack
Jack Daniel's Old No. 7,8.03,0.39,13,$$,Bourbon-like,,,USA,Bourbon,7 daniel jack old
Jack Daniel's Rested Tennessee Rye (Batch 1/2),8.33,0.47,4,$$$,Rye-like,,,USA,Rye,1/2 batch daniel jack rested rye
Jack Daniel's Single Barrel,8.46,0.42,14,$$$,Bourbon-like,,,USA,Bourbon,barrel daniel jack single
Jack Daniel's Single Barrel Rye,8.68,0.23,4,$$$,Rye-like,,,USA,Rye,barrel daniel jack rye single
Jameson 12yo Special Reserve,8.36,0.25,9,$$$$,Scotch-like,,,Ireland,Blend,12 jameson reserve special
Jameson 18yo Limited Reserve,8.62,0.24,9,$$$$$,Scotch-like,,,Ireland,Blend,18 jameson limited reserve
Jameson Blender's Dog Irish Whiskey,8.72,0.3,3,$$$$,Scotch-like,,,Ireland,Blend,blender dog jameson
Jameson Bold Irish Whiskey,8.38,0.39,3,$$$$,Scotch-like,,,Ireland,Blend,bold jameson
Jameson Caskmates Stout Edition,8.27,0.48,8,$$,Scotch-like,,,Ireland,Blend,caskmates edition jameson stout
Jameson Cooper's Croze Irish Whiskey,8.61,0.34,4,$$$$,Scotch-like,,,Ireland,Blend,cooper croze
Jameson Distiller's Safe Irish Whiskey,8.45,0.64,3,$$$$,Scotch-like,,,Ireland,Blend,distiller jameson safe
Jameson Gold Reserve,8.46,0.39,10,$$$$,Scotch-like,,,Ireland,Blend,gold jameson reserve
Jameson Irish Whiskey,7.82,0.51,19,$$,Scotch-like,,,Ireland,Blend,jameson
Jameson Lively Irish Whiskey,7.91,0.37,3,$$$$,Scotch-like,,,Ireland,Blend,jameson lively
Jameson Select Reserve (Black Barrel),8.37,0.37,17,$$,Scotch-like,,,Ireland,Blend,barrel black jameson reserve select
Jameson Signature Reserve,8.38,0.31,5,$$,Scotch-like,,,Ireland,Blend,jameson reserve signature
Jefferson's 18yo Presidential Select,8.85,0.45,8,$$$$$+,Bourbon-like,,,USA,Bourbon,18 jefferson presidential select
Jefferson's Ocean,8.53,0.19,6,$$,Bourbon-like,,,USA,Bourbon,jefferson ocean
Jefferson's Ocean Aged at Sea,8.64,0.39,3,$$$$,Bourbon-like,,,USA,Bourbon,aged at jefferson ocean sea
Jefferson's Reserve Very Old Kentucky Straight Bourbon,8.51,0.38,7,$$$,Bourbon-like,,,USA,Bourbon,jefferson kentucky old reserve straight very
Jefferson's Straight Rye 10yo,8.61,0.37,7,$$$,Rye-like,,,USA,Rye,10 jefferson rye straight
Jefferson's Very Small Batch Bourbon,7.92,0.71,8,$$,Bourbon-like,,,USA,Bourbon,batch jefferson small very
Jim Beam 12yo Signature Craft,8.6,0.28,9,$$,Bourbon-like,,,USA,Bourbon,12 beam jim signature
Jim Beam Black Label,8.21,0.42,15,$,Bourbon-like,,,USA,Bourbon,beam black jim
Jim Beam Bonded,8.59,0.35,8,$$,Bourbon-like,,,USA,Bourbon,beam bonded jim
Jim Beam Devil's Cut,8.06,0.51,16,$,Bourbon-like,,,USA,Bourbon,beam cut devil jim
Jim Beam Distillers Masterpiece PX Sherry Cask Finish,8.39,0.36,4,$$$$$,Bourbon-like,,,USA,Bourbon,beam cask distillers finish jim masterpiece px sherry
Jim Beam Distillers Series,7.66,1.58,4,$$,Bourbon-like,,,USA,Bourbon,beam distillers jim series
Jim Beam Double Oak,8.17,0.46,6,$$,Bourbon-like,,,USA,Bourbon,beam double jim oak
Jim Beam Pre-Prohibition Rye,8.47,0.37,6,$,Rye-like,,,USA,Rye,beam jim pre prohibition rye
Jim Beam Red Stag (Black Cherry),7.45,0.97,4,$,Bourbon-like,,,USA,Flavoured,beam black cherry jim red stag
Jim Beam Rye,7.93,0.62,9,$,Rye-like,,,USA,Rye,beam jim rye
Jim Beam Single Barrel,8.65,0.21,4,$$,Bourbon-like,,,USA,Bourbon,barrel beam jim single
Jim Beam White Label,7.66,0.48,17,$,Bourbon-like,,,USA,Bourbon,beam jim white
Johnnie Walker Black Label,8.27,0.47,22,$$,Scotch-like,,,Scotland,Blend,black johnnie walker
Johnnie Walker Blue Label,8.53,0.38,14,$$$$$,Scotch-like,,,Scotland,Blend,blue johnnie walker
Johnnie Walker Double Black,8.42,0.45,14,$$,Scotch-like,,,Scotland,Blend,black double johnnie walker
Johnnie Walker Explorers Club The Adventurer,7.91,0.08,3,$$,Scotch-like,,,Scotland,Blend,adventurer club explorers johnnie the walker
Johnnie Walker Explorers Club The Gold Route,8.49,0.33,8,$$$$,Scotch-like,,,Scotland,Blend,club explorers gold johnnie route the walker
Johnnie Walker Explorers Club The Royal Route,8.33,0.44,7,$$$$$,Scotch-like,,,Scotland,Blend,club explorers johnnie route royal the walker
Johnnie Walker Explorers Club The Spice Road,8.37,0.56,9,$$,Scotch-like,,,Scotland,Blend,club explorers johnnie road spice the walker
Johnnie Walker Gold Label Reserve,8.29,0.33,16,$$$$,Scotch-like,,,Scotland,Blend,gold johnnie reserve walker
Johnnie Walker Green Label,8.54,0.4,17,$$$$,Scotch-like,,,Scotland,Blend,green johnnie walker
Johnnie Walker Platinum Label,8.48,0.41,15,$$$$,Scotch-like,,,Scotland,Blend,johnnie platinum walker
Johnnie Walker Red Label,7.39,0.62,18,$,Scotch-like,,,Scotland,Blend,johnnie red walker
Johnnie Walker Rye Cask Finish,8.38,0.55,5,$$$,Scotch-like,,,Scotland,Blend,cask finish johnnie rye walker
Jura 10yo Origin,8.03,0.38,16,$$$,SingleMalt-like,I,I,Scotland,Malt,10 jura origin
Jura 12yo Elixir,8.31,0.46,10,$$$,SingleMalt-like,ABC,C,Scotland,Malt,12 elixir jura
Jura 16yo,7.95,0.52,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,16 jura
Jura 16yo Diurach's Own,8.48,0.39,13,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,16 diurach jura own
Jura 21yo,8.24,0.74,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,21 jura
Jura 21yo 200th Anniversary,8.14,0.82,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,200th 21 anniversary jura
Jura Brooklyn,8.77,0.21,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,brooklyn jura
Jura Prophecy,8.65,0.31,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,jura prophecy
Jura Superstition,8.25,0.46,19,$$$,SingleMalt-like,I,I,Scotland,Malt,jura superstition
Jura Turas Mara,7.89,0.59,5,$$,SingleMalt-like,ABC,C,Scotland,Malt,jura mara turas
Kakubin (Suntory Whisky),8.15,0.85,4,$$,Scotch-like,,,Japan,Blend,kakubin suntory
Karuizawa 1990 Sherry Butt,9.01,0.28,4,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt,1990 butt karuizawa sherry
Karuizawa Asama Vintages 1999-2000,8.65,0.44,9,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt,1999 2000 asama karuizawa vintages
Kavalan Concertmaster Port Cask,8.28,0.54,18,$$$$,SingleMalt-like,ABC,C,Taiwan,Malt,cask concertmaster kavalan port
Kavalan Distillery Reserve Peaty Cask,8.77,0.35,4,$$$$$+,SingleMalt-like,I,I,Taiwan,Malt,cask distillery kavalan peaty reserve
Kavalan ex-Bourbon Oak,9.08,0.22,3,$$$$,SingleMalt-like,EF,E,Taiwan,Malt,ex kavalan oak
Kavalan King Car Conductor,8.42,0.37,8,$$$$,SingleMalt-like,GH,G,Taiwan,Malt,car conductor kavalan king
Kavalan Podium,8.81,0.36,7,$$$$,SingleMalt-like,GH,G,Taiwan,Malt,kavalan podium
Kavalan Sherry Oak,8.73,0.27,5,$$$$$,SingleMalt-like,ABC,B,Taiwan,Malt,kavalan oak sherry
Kavalan Single Malt Whisky,8.42,0.5,17,$$$$,SingleMalt-like,GH,G,Taiwan,Malt,kavalan
Kavalan Solist Ex-Bourbon,8.87,0.24,17,$$$$$,SingleMalt-like,EF,E,Taiwan,Malt,ex kavalan solist
Kavalan Solist Fino Sherry Cask,9.0,0.35,10,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt,cask fino kavalan sherry solist
Kavalan Solist Port Cask,9.0,0.43,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,cask kavalan port solist
Kavalan Solist Sherry Cask,9.12,0.35,14,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt,cask kavalan sherry solist
Kavalan Solist Vinho Barrique,8.98,0.34,13,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt,barrique kavalan solist vinho
Kilbeggan 8yo Single Grain (Greenore),8.13,0.38,11,$$,Scotch-like,,,Ireland,Grain,8 grain greenore kilbeggan single
Kilbeggan Irish Reserve Malt Whiskey,7.98,0.52,6,$$,SingleMalt-like,GH,G,Ireland,Malt,kilbeggan malt reserve
Kilchoman 100% Islay (all editions),8.76,0.25,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,100% all editions islay kilchoman
Kilchoman 2007 Vintage,8.95,0.29,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,2007 kilchoman vintage
Kilchoman 2008 Vintage,9.02,0.22,5,$$$$,SingleMalt-like,J,J,Scotland,Malt,2008 kilchoman vintage
Kilchoman Bourbon Single Cask,8.95,0.24,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,cask kilchoman single
Kilchoman Coull Point,8.82,0.14,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,coull kilchoman point
Kilchoman Loch Gorm,8.87,0.26,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,gorm kilchoman loch
Kilchoman Machir Bay (all vintages),8.77,0.23,20,$$$$,SingleMalt-like,J,J,Scotland,Malt,all bay kilchoman machir vintages
Kilchoman Madeira Cask Matured,8.6,0.34,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,cask kilchoman madeira matured
Kilchoman Original Cask Strength,8.93,0.6,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,cask kilchoman original strength
Kilchoman Port Cask Matured,9.07,0.19,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,cask kilchoman matured port
Kilchoman PX Sherry Finish,8.88,0.19,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,finish kilchoman px sherry
Kilchoman Sanaig,8.73,0.27,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,kilchoman sanaig
Kilchoman Sherry Single Cask,8.63,0.55,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,cask kilchoman sherry single
Kilchoman Spring 2011 Release,8.74,0.24,8,$$$$,SingleMalt-like,J,J,Scotland,Malt,2011 kilchoman release spring
Kilchoman Winter 2010 Release,8.54,0.15,4,$$$$,SingleMalt-like,J,J,Scotland,Malt,2010 kilchoman release winter
Kilkerran 12yo,8.92,0.19,11,$$$,SingleMalt-like,GH,G,Scotland,Malt,12 kilkerran
Kilkerran Work in Progress,8.57,0.32,14,$$$$,SingleMalt-like,GH,G,Scotland,Malt,in kilkerran progress work
Kilkerran Work in Progress Bourbon Wood,8.77,0.42,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt,in kilkerran progress wood work
Kilkerran Work in Progress Sherry Wood,8.58,0.31,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt,in kilkerran progress sherry wood work
Kininvie 17yo (all batches),8.83,0.33,9,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,17 all batches kininvie
Kininvie 23yo (all batches),8.57,0.34,8,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,23 all batches kininvie
Kirin 18yo (Fuji Sanroku),8.94,0.56,3,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,18 fuji kirin sanroku
Kirin 50% Blend (Fuji Gotemba),8.35,0.49,3,$$$$,Scotch-like,,,Japan,Blend,50% blend fuji gotemba kirin
Knappogue Castle 12yo,8.5,0.4,12,$$$,SingleMalt-like,GH,G,Ireland,Malt,12 castle knappogue
Knappogue Castle 14yo Twin Wood,8.1,0.73,4,$$$$,SingleMalt-like,EF,E,Ireland,Malt,14 castle knappogue twin wood
Knappogue Castle 16yo Twin Wood,8.78,0.49,5,$$$$,SingleMalt-like,ABC,C,Ireland,Malt,16 castle knappogue twin wood
Knappogue Castle Vintage,8.08,0.8,5,$$$,SingleMalt-like,GH,H,Ireland,Malt,castle knappogue vintage
Knob Creek Single Barrel Reserve Bourbon,8.75,0.29,11,$$$,Bourbon-like,,,USA,Bourbon,barrel creek knob reserve single
Knob Creek Small Batch 9yo Bourbon,8.61,0.4,21,$$,Bourbon-like,,,USA,Bourbon,9 batch creek knob small
Knob Creek Small Batch Straight Rye Whiskey,8.54,0.38,16,$$$,Rye-like,,,USA,Rye,batch creek knob rye small straight
Knockando 12yo (All Vintages),7.94,0.42,12,$$,SingleMalt-like,GH,G,Scotland,Malt,12 all knockando vintages
Koval Single Barrel Bourbon,8.67,0.33,7,$$$,Bourbon-like,,,USA,Bourbon,barrel koval single
Koval Single Barrel Four Grain,8.54,0.19,5,$$$$,Bourbon-like,,,USA,Grain,barrel four grain koval single
Koval Single Barrel Millet Whiskey,8.17,0.34,4,$$$,Bourbon-like,,,USA,Grain,barrel koval millet single
Koval Single Barrel Rye,8.08,0.31,5,$$$,Rye-like,,,USA,Rye,barrel koval rye single
Lagavulin 12yo Cask Strength,9.12,0.17,19,$$$$$,SingleMalt-like,J,J,Scotland,Malt,12 cask lagavulin strength
Lagavulin 16yo,9.23,0.23,25,$$$$,SingleMalt-like,J,J,Scotland,Malt,16 lagavulin
Lagavulin 8yo,8.85,0.26,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,8 lagavulin
Lagavulin Distiller's Edition (All Vintages),9.04,0.23,20,$$$$$,SingleMalt-like,J,J,Scotland,Malt,all distiller edition lagavulin vintages
Laphroaig 10yo,8.86,0.25,20,$$$,SingleMalt-like,J,J,Scotland,Malt,10 laphroaig
Laphroaig 10yo Cask Strength (all batches),8.96,0.34,19,$$$$,SingleMalt-like,J,J,Scotland,Malt,10 all batches cask laphroaig strength
Laphroaig 15yo (200th Anniversary),8.8,0.29,15,$$$$,SingleMalt-like,J,J,Scotland,Malt,15 200th anniversary laphroaig
Laphroaig 18yo,9.03,0.26,18,$$$$$,SingleMalt-like,J,J,Scotland,Malt,18 laphroaig
Laphroaig 21yo,9.22,0.24,9,$$$$$+,SingleMalt-like,J,J,Scotland,Malt,21 laphroaig
Laphroaig 25yo,9.16,0.3,15,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 laphroaig
Laphroaig An Cuan Mor,8.87,0.14,11,$$$$,SingleMalt-like,J,J,Scotland,Malt,an cuan laphroaig mor
Laphroaig Cairdeas 2013 Port Wood,8.84,0.46,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,2013 cairdeas laphroaig port wood
Laphroaig Cairdeas 2014 Amontillado,8.96,0.22,9,$$$$,SingleMalt-like,J,J,Scotland,Malt,2014 amontillado cairdeas laphroaig
Laphroaig Cairdeas 2015,9.17,0.16,7,$$$$,SingleMalt-like,J,J,Scotland,Malt,2015 cairdeas laphroaig
Laphroaig Cairdeas 2016 Madeira,8.85,0.45,10,$$$$,SingleMalt-like,J,J,Scotland,Malt,cairdeas laphroaig madeira
Laphroaig Lore,8.86,0.3,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt,laphroaig lore
Laphroaig PX Triple Matured,8.64,0.57,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,laphroaig matured px triple
Laphroaig QA Cask,8.29,0.58,9,$$$,SingleMalt-like,J,J,Scotland,Malt,cask laphroaig qa
Laphroaig Quarter Cask,9.02,0.27,21,$$$$,SingleMalt-like,J,J,Scotland,Malt,cask laphroaig quarter
Laphroaig Select,8.29,0.37,12,$$$,SingleMalt-like,ABC,C,Scotland,Malt,laphroaig select
Laphroaig Triple Wood,8.7,0.34,17,$$$$,SingleMalt-like,J,J,Scotland,Malt,laphroaig triplewood
Larceny Small Batch Bourbon,8.38,0.24,10,$$,Bourbon-like,,,USA,Bourbon,batch larceny small
Ledaig 10yo,8.34,0.37,20,$$$,SingleMalt-like,I,I,Scotland,Malt,10 ledaig
Ledaig 18yo,8.58,0.77,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,18 ledaig
Ledaig 42yo Old Dusgadh,9.48,0.27,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,42 dusgadh ledaig old
Linkwood 12yo (F&F),8.59,0.35,6,$$$$,SingleMalt-like,GH,H,Scotland,Malt,12 ff linkwood
Loch Lomond,7.55,0.45,10,$,SingleMalt-like,GH,H,Scotland,Malt,loch lomond
Lohin McKinnon,7.92,0.11,3,$$$,Rye-like,,,Canada,Rye,lohin mckinnon
Longmorn 15yo,8.83,0.36,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,15 longmorn
Longmorn 16yo,8.74,0.33,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,16 longmorn
Longmorn Distiller's Choice,7.98,0.32,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,choice distiller longmorn
Longrow 10yo,8.58,0.4,12,$$$$,SingleMalt-like,GH,G,Scotland,Malt,10 longrow
Longrow 10yo Tokaji Finish,7.49,1.08,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,10 finish longrow tokaji
Longrow 18yo,9.1,0.27,10,$$$$$,SingleMalt-like,J,J,Scotland,Malt,18 longrow
Longrow 7yo Gaja Barolo Finish,8.56,0.55,6,$$$$,SingleMalt-like,I,I,Scotland,Malt,7 barolo finish gaja longrow
Longrow CV,8.82,0.29,15,$$$,SingleMalt-like,J,J,Scotland,Malt,cv longrow
Longrow Peated,8.83,0.18,12,$$$,SingleMalt-like,J,J,Scotland,Malt,longrow peated
Longrow Red 11yo Australian Shiraz,8.83,0.34,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,11 australian longrow red shiraz
Longrow Red 11yo Cabernet Sauvignon,8.36,1.18,10,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,11 cabernet longrow red sauvignon
Longrow Red 11yo Port Cask,8.71,0.37,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,11 cask longrow port red
Longrow Red 12yo Pinot Noir Finish,8.86,0.37,6,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,12 finish longrow noir pinot red
Longrow Red 14yo Burgundy Wood,8.54,0.69,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,14 burgundy longrow red wood
Lot 40,8.91,0.36,20,$$,Rye-like,,,Canada,Rye,40 lot
Lot 40 Cask Strength,9.27,0.2,3,,Rye-like,,,Canada,Rye,40 cask lot strength
Macallan 10yo Fine Oak,8.24,0.3,17,$$$,SingleMalt-like,EF,E,Scotland,Malt,10 fine macallan oak
Macallan 10yo Sherry Oak,8.42,0.34,9,$$$,SingleMalt-like,ABC,A,Scotland,Malt,10 macallan oak sherry
Macallan 10yo Sherry Oak Cask Strength,8.88,0.51,6,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,10 cask macallan oak sherry strength
Macallan 12yo Double Cask,8.59,0.41,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt,12 cask double macallan
Macallan 12yo Fine Oak,8.48,0.4,14,$$$$,SingleMalt-like,GH,G,Scotland,Malt,12 fine macallan oak
Macallan 12yo Sherry Oak,8.58,0.27,20,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,12 macallan oak sherry
Macallan 15yo Fine Oak,8.39,0.52,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,15 fine macallan oak
Macallan 17yo Fine Oak,8.79,0.55,9,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,17 fine macallan oak
Macallan 1824 Amber,8.29,0.4,12,$$$,SingleMalt-like,EF,E,Scotland,Malt,1824 amber macallan
Macallan 1824 Gold,8.29,0.27,14,$$$,SingleMalt-like,GH,G,Scotland,Malt,1824 gold macallan
Macallan 1824 Rare Cask,8.69,0.41,10,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,1824 cask macallan rare
Macallan 1824 Ruby,8.79,0.21,11,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,1824 macallan ruby
Macallan 1824 Sienna,8.74,0.35,16,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,1824 macallan sienna
Macallan 18yo Fine Oak,8.82,0.31,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,18 fine macallan oak
Macallan 18yo Sherry Oak,8.89,0.34,16,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,18 macallan oak sherry
Macallan 21yo Fine Oak,8.52,0.4,6,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt,21 fine macallan oak old
Macallan 25yo Fine Oak,8.64,0.24,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 fine macallan oak
Macallan 25yo Sherry Oak,8.85,0.47,8,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,25 macallan oak sherry
Macallan 30yo Fine Oak,8.57,0.35,6,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,30 fine macallan oak
Macallan Cask Strength,8.88,0.39,12,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,cask macallan strength
Macallan Edition No. 1,8.81,0.47,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,1 edition macallan
Macallan Edition No. 2,8.81,0.24,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,2 edition macallan
Macallan Reflexion,8.65,0.33,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,macallan reflexion
Macallan Select Oak,8.28,0.37,10,$$$,SingleMalt-like,ABC,C,Scotland,Malt,macallan oak select
Macallan Whisky Maker's Edition,8.56,0.35,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,edition macallan maker
Mackinlay 'Shackleton' Rare Old Highland Malt Whisky,8.8,0.36,17,$$$$$,SingleMalt-like,GH,H,Scotland,Malt,hackleton' highland mackinlay malt old rare
Mackmyra Brukswhisky,8.43,0.62,9,$$$,SingleMalt-like,GH,H,Sweden,Malt,bruks mackma
Mackmyra Midnattssol,8.14,0.71,5,$$$$,SingleMalt-like,GH,H,Sweden,Malt,mackma midnattssol
Mackmyra Midvinter,8.52,0.55,3,$$$,SingleMalt-like,ABC,C,Sweden,Malt,mackma midvinter
Mackmyra Moment Gld,8.83,0.43,4,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,gld mackma moment
Mackmyra Moment Jord,8.56,0.62,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt,jord mackma moment
Mackmyra Moment Klla,8.46,0.32,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,klla mackma moment
Mackmyra Moment Rimfrost,8.76,0.35,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,mackma moment rimfrost
Mackmyra Moment Solsken,8.47,0.55,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,mackma moment solsken
Mackmyra Moment Urberg,8.81,0.24,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,mackma moment urberg
Mackmyra Preludium 03,8.58,0.87,5,$$$$$,SingleMalt-like,GH,H,Sweden,Malt,03 mackma preludium
Mackmyra Reserve Single Cask (various casks),9.0,0.5,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,cask casks mackma reserve single various
Mackmyra Special 01,7.57,0.46,3,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,01 mackma special
Mackmyra Special 02,8.3,0.74,3,$$$$$,SingleMalt-like,GH,H,Sweden,Malt,02 mackma special
Mackmyra Special 03,8.69,0.28,7,$$$$$,SingleMalt-like,EF,E,Sweden,Malt,03 mackma special
Mackmyra Special 04,8.75,0.36,8,$$$$,SingleMalt-like,EF,E,Sweden,Malt,04 mackma special
Mackmyra Special 05,8.5,0.38,7,$$$$,SingleMalt-like,EF,E,Sweden,Malt,05 mackma special
Mackmyra Special 07,8.49,0.54,7,$$$$,SingleMalt-like,GH,H,Sweden,Malt,07 mackma special
Mackmyra Special 08,8.36,0.31,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt,08 mackma special
Mackmyra Special 09,8.62,0.24,4,$$$$,SingleMalt-like,EF,E,Sweden,Malt,09 mackma special
Mackmyra Special 10,8.44,0.49,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt,10 mackma special
Mackmyra Svensk Ek,8.34,0.22,3,$$$$,SingleMalt-like,GH,H,Sweden,Malt,ek mackma svensk
Mackmyra Svensk Rk,8.71,0.14,4,$$$$,SingleMalt-like,I,I,Sweden,Malt,mackma rk svensk
Mackmyra The First Edition (Den Frsta Utgvan),8.64,0.37,17,$$$,SingleMalt-like,GH,H,Sweden,Malt,den edition first frsta mackma the utgvan
Maker's Mark,8.23,0.43,22,$$,Bourbon-like,,,USA,Bourbon,maker mark
Maker's Mark 46,8.76,0.32,15,$$$,Bourbon-like,,,USA,Bourbon,46 maker mark
Maker's Mark Cask Strength,8.71,0.38,9,$$$$,Bourbon-like,,,USA,Bourbon,cask maker mark strength
Mannochmore 12yo (F&F),8.23,0.17,4,$$$,SingleMalt-like,GH,G,Scotland,Malt,12 ff mannochmore
Masterson's Straight Barley 10yo,8.58,0.61,7,$$$$,Rye-like,,,Canada,Barley,10 barley masterson straight
Masterson's Straight Rye 10yo,8.89,0.42,17,$$$$,Rye-like,,,Canada,Rye,10 masterson rye straight
Masterson's Straight Wheat 12yo,8.63,0.23,9,$$$$,Rye-like,,,Canada,Wheat,12 masterson straight wheat
McClelland's Highland Single Malt,7.09,0.47,7,$$,SingleMalt-like,GH,G,Scotland,Malt,highland mcclelland
